seed,model,case_type,true,pred,file
53,clip,failure,fairy,lolita,clip\seed_53\failure_05.png
53,cross_attention,success,fairy,fairy,cross_attention\seed_53\success_00.png
53,cross_attention,success,gal,gal,cross_attention\seed_53\success_01.png
53,cross_attention,success,street,street,cross_attention\seed_53\success_02.png
53,cross_attention,success,rock,rock,cross_attention\seed_53\success_03.png
53,cross_attention,success,mode,mode,cross_attention\seed_53\success_04.png
53,cross_attention,success,natural,natural,cross_attention\seed_53\success_05.png
53,cross_attention,failure,gal,feminine,cross_attention\seed_53\failure_00.png
53,cross_attention,failure,conservative,retro,cross_attention\seed_53\failure_01.png
53,cross_attention,failure,rock,mode,cross_attention\seed_53\failure_02.png
53,cross_attention,failure,kireime-casual,ethnic,cross_attention\seed_53\failure_03.png
53,cross_attention,failure,conservative,kireime-casual,cross_attention\seed_53\failure_04.png
53,cross_attention,failure,mode,rock,cross_attention\seed_53\failure_05.png
58,clip,success,street,street,clip\seed_58\success_00.png
58,clip,success,kireime-casual,kireime-casual,clip\seed_58\success_01.png
58,clip,success,retro,retro,clip\seed_58\success_02.png
58,clip,success,ethnic,ethnic,clip\seed_58\success_03.png
58,clip,success,girlish,girlish,clip\seed_58\success_04.png
58,clip,success,dressy,dressy,clip\seed_58\success_05.png
58,clip,failure,retro,girlish,clip\seed_58\failure_00.png
58,clip,failure,kireime-casual,ethnic,clip\seed_58\failure_01.png
58,clip,failure,conservative,retro,clip\seed_58\failure_02.png
58,clip,failure,mode,ethnic,clip\seed_58\failure_03.png
58,clip,failure,fairy,girlish,clip\seed_58\failure_04.png
58,clip,failure,mode,natural,clip\seed_58\failure_05.png
58,cross_attention,success,street,street,cross_attention\seed_58\success_00.png
58,cross_attention,success,kireime-casual,kireime-casual,cross_attention\seed_58\success_01.png
58,cross_attention,success,retro,retro,cross_attention\seed_58\success_02.png
58,cross_attention,success,ethnic,ethnic,cross_attention\seed_58\success_03.png
58,cross_attention,success,dressy,dressy,cross_attention\seed_58\success_04.png
58,cross_attention,success,feminine,feminine,cross_attention\seed_58\success_05.png
58,cross_attention,failure,girlish,natural,cross_attention\seed_58\failure_00.png
58,cross_attention,failure,retro,girlish,cross_attention\seed_58\failure_01.png
58,cross_attention,failure,retro,dressy,cross_attention\seed_58\failure_02.png
58,cross_attention,failure,conservative,retro,cross_attention\seed_58\failure_03.png
58,cross_attention,failure,mode,ethnic,cross_attention\seed_58\failure_04.png
58,cross_attention,failure,fairy,girlish,cross_attention\seed_58\failure_05.png
72,clip,success,dressy,dressy,clip\seed_72\success_00.png
72,clip,success,conservative,conservative,clip\seed_72\success_01.png
72,clip,success,dressy,dressy,clip\seed_72\success_02.png
72,clip,success,lolita,lolita,clip\seed_72\success_03.png
72,clip,success,dressy,dressy,clip\seed_72\success_04.png
72,clip,success,retro,retro,clip\seed_72\success_05.png
72,clip,failure,kireime-casual,ethnic,clip\seed_72\failure_00.png
72,clip,failure,mode,rock,clip\seed_72\failure_01.png
72,clip,failure,conservative,girlish,clip\seed_72\failure_02.png
72,clip,failure,feminine,gal,clip\seed_72\failure_03.png
72,clip,failure,gal,retro,clip\seed_72\failure_04.png
72,clip,failure,retro,girlish,clip\seed_72\failure_05.png
72,cross_attention,success,dressy,dressy,cross_attention\seed_72\success_00.png
72,cross_attention,success,conservative,conservative,cross_attention\seed_72\success_01.png
72,cross_attention,success,dressy,dressy,cross_attention\seed_72\success_02.png
72,cross_attention,success,lolita,lolita,cross_attention\seed_72\success_03.png
72,cross_attention,success,dressy,dressy,cross_attention\seed_72\success_04.png
72,cross_attention,success,retro,retro,cross_attention\seed_72\success_05.png
72,cross_attention,failure,kireime-casual,retro,cross_attention\seed_72\failure_00.png
72,cross_attention,failure,girlish,retro,cross_attention\seed_72\failure_01.png
72,cross_attention,failure,mode,rock,cross_attention\seed_72\failure_02.png
72,cross_attention,failure,ethnic,gal,cross_attention\seed_72\failure_03.png
72,cross_attention,failure,gal,feminine,cross_attention\seed_72\failure_04.png
72,cross_attention,failure,gal,feminine,cross_attention\seed_72\failure_05.png
102,clip,success,retro,retro,clip\seed_102\success_00.png
102,clip,success,natural,natural,clip\seed_102\success_01.png
102,clip,success,rock,rock,clip\seed_102\success_02.png
102,clip,success,dressy,dressy,clip\seed_102\success_03.png
102,clip,success,kireime-casual,kireime-casual,clip\seed_102\success_04.png
102,clip,success,fairy,fairy,clip\seed_102\success_05.png
102,clip,failure,kireime-casual,conservative,clip\seed_102\failure_00.png
102,clip,failure,mode,rock,clip\seed_102\failure_01.png
102,clip,failure,dressy,gal,clip\seed_102\failure_02.png
102,clip,failure,girlish,street,clip\seed_102\failure_03.png
102,clip,failure,conservative,feminine,clip\seed_102\failure_04.png
102,clip,failure,girlish,gal,clip\seed_102\failure_05.png
102,cross_attention,success,retro,retro,cross_attention\seed_102\success_00.png
102,cross_attention,success,natural,natural,cross_attention\seed_102\success_01.png
102,cross_attention,success,rock,rock,cross_attention\seed_102\success_02.png
102,cross_attention,success,dressy,dressy,cross_attention\seed_102\success_03.png
102,cross_attention,success,kireime-casual,kireime-casual,cross_attention\seed_102\success_04.png
102,cross_attention,success,kireime-casual,kireime-casual,cross_attention\seed_102\success_05.png
102,cross_attention,failure,dressy,girlish,cross_attention\seed_102\failure_00.png
102,cross_attention,failure,girlish,street,cross_attention\seed_102\failure_01.png
102,cross_attention,failure,conservative,girlish,cross_attention\seed_102\failure_02.png
102,cross_attention,failure,girlish,gal,cross_attention\seed_102\failure_03.png
102,cross_attention,failure,mode,rock,cross_attention\seed_102\failure_04.png
102,cross_attention,failure,gal,street,cross_attention\seed_102\failure_05.png
